,0
Cluster 47 similarity,0
Cluster 48 similarity,0
Cluster 49 similarity,0
Cluster 50 similarity,0
Cluster 51 similarity,0
Cluster 52 similarity,0
Cluster 53 similarity,0
Cluster 54 similarity,0
Cluster 55 similarity,0
Cluster 56 similarity,0
Cluster 57 similarity,0
Cluster 58 similarity,0
Cluster 59 similarity,0
Cluster 60 similarity,0
Cluster 61 similarity,0
Cluster 62 similarity,0
Cluster 63 similarity,0
Cluster 64 similarity,0
Cluster 65 similarity,0
Cluster 66 similarity,0
Cluster 67 similarity,0
Cluster 68 similarity,0
Cluster 69 similarity,0
Cluster 70 similarity,0
Cluster 71 similarity,0
Cluster 72 similarity,0
Cluster 73 similarity,0
Cluster 74 similarity,0
Cluster 75 similarity,0
Cluster 76 similarity,0
Cluster 77 similarity,0
Cluster 78 similarity,0
Cluster 79 similarity,0
Cluster 80 similarity,0
Cluster 81 similarity,0
Cluster 82 similarity,0
Cluster 83 similarity,0
Cluster 84 similarity,0
Cluster 85 similarity,0
Cluster 86 similarity,0
Cluster 87 similarity,0
Cluster 88 similarity,0
Cluster 89 similarity,0
Cluster 90 similarity,0
Cluster 91 similarity,0
Cluster 92 similarity,0
Cluster 93 similarity,0
Cluster 94 similarity,0
Cluster 95 similarity,0
Cluster 96 similarity,0
Cluster 97 similarity,0
Cluster 98 similarity,0
Cluster 99 similarity,0
Cluster 100 similarity,0
Cluster 101 similarity,0
Cluster 102 similarity,0
Cluster 103 similarity,0
Cluster 104 similarity,0
Cluster 105 similarity,0
Cluster 106 similarity,0
Cluster 107 similarity,0
Cluster 108 similarity,0
Cluster 109 similarity,0
Cluster 110 similarity,0
Cluster 111 similarity,0
Cluster 112 similarity,0
Cluster 113 similarity,0
Cluster 114 similarity,0
Cluster 115 similarity,0
Cluster 116 similarity,0
Cluster 117 similarity,0
Cluster 118 similarity,0
Cluster 119 similarity,0
Cluster 120 similarity,0
Cluster 121 similarity,0
Cluster 122 similarity,0
Cluster 123 similarity,0
Cluster 124 similarity,0
Cluster 125 similarity,0
Cluster 126 similarity,0
Cluster 127 similarity,0
Cluster 128 similarity,0
Cluster 129 similarity,0
Cluster 130 similarity,0
Cluster 131 similarity,0
Cluster 132 similarity,0
Cluster 133 similarity,0
Cluster 134 similarity,0
Cluster 135 similarity,0
Cluster 136 similarity,0
Cluster 137 similarity,0
Cluster 138 similarity,0
Cluster 139 similarity,0
Cluster 140 similarity,0
Cluster 141 similarity,0
Cluster 142 similarity,0
Cluster 143 similarity,0
Cluster 144 similarity,0
Cluster 145 similarity,0
Cluster 146 similarity,0
Cluster 147 similarity,0
Cluster 148 similarity,0
Cluster 149 similarity,0
Cluster 150 similarity,0
Cluster 151 similarity,0
Cluster 152 similarity,0
Cluster 153 similarity,0
Cluster 154 similarity,0
Cluster 155 similarity,0
Cluster 156 similarity,0
Cluster 157 similarity,0
Cluster 158 similarity,0
Cluster 159 similarity,0
Cluster 160 similarity,0
Cluster 161 similarity,0
Cluster 162 similarity,0
Cluster 163 similarity,0
Cluster 164 similarity,0
Cluster 165 similarity,0
Cluster 166 similarity,0
Cluster 167 similarity,0
Cluster 168 similarity,0
Cluster 169 similarity,0
Cluster 170 similarity,0
Cluster 171 similarity,0
Cluster 172 similarity,0
Cluster 173 similarity,0
Cluster 174 similarity,0
Cluster 175 similarity,0
Cluster 176 similarity,0
Cluster 177 similarity,0
Cluster 178 similarity,0
Cluster 179 similarity,0
Cluster 180 similarity,0
Cluster 181 similarity,0
Cluster 182 similarity,0
Cluster 183 similarity,0
Cluster 184 similarity,0
Cluster 185 similarity,0
Cluster 186 similarity,0
Cluster 187 similarity,0
Cluster 188 similarity,0
Cluster 189 similarity,0
Cluster 190 similarity,0
Cluster 191 similarity,0
Cluster 192 similarity,0
Cluster 193 similarity,0
Cluster 194 similarity,0
Cluster 195 similarity,0
Cluster 196 similarity,0
Cluster 197 similarity,0
Cluster 198 similarity,0
Cluster 199 similarity,0
Cluster 200 similarity,0
Cluster 201 similarity,0
Cluster 202 similarity,0
Cluster 203 similarity,0
Cluster 204 similarity,0
Cluster 205 similarity,0
Cluster 206 similarity,0
Cluster 207 similarity,0
Cluster 208 similarity,0
Cluster 209 similarity,0
Cluster 210 similarity,0
Cluster 211 similarity,0
Cluster 212 similarity,0
Cluster 213 similarity,0
Cluster 214 similarity,0
Cluster 215 similarity,0
Cluster 216 similarity,0
Cluster 217 similarity,0
Cluster 218 similarity,0
Cluster 219 similarity,0
Cluster 220 similarity,0
Cluster 221 similarity,0
Cluster 222 similarity,0
Cluster 223 similarity,0
Cluster 224 similarity,0
Cluster 225 similarity,0
Cluster 226 similarity,0
Cluster 227 similarity,0
Cluster 228 similarity,0
Cluster 229 similarity,0
Cluster 230 similarity,0
Cluster 231 similarity,0
Cluster 232 similarity,0
Cluster 233 similarity,0
Cluster 234 similarity,0
Cluster 235 similarity,0
Cluster 236 similarity,0
Cluster 237 similarity,0
Cluster 238 similarity,0
Cluster 239 similarity,0
Cluster 240 similarity,0
Cluster 241 similarity,0
Cluster 242 similarity,0
Cluster 243 similarity,0
Cluster 244 similarity,0
Cluster 245 similarity,0
Cluster 246 similarity,0
Cluster 247 similarity,0
Cluster 248 similarity,0
Cluster 249 similarity,0
Cluster 250 similarity,0
Cluster 251 similarity,0
Cluster 252 similarity,0
Cluster 253 similarity,0
Cluster 254 similarity,0
Cluster 255 similarity,0
Cluster 256 similarity,0
Cluster 257 similarity,0
Cluster 258 similarity,0
Cluster 259 similarity,0
Cluster 260 similarity,0
Cluster 261 similarity,0
Cluster 262 similarity,0
Cluster 263 similarity,0
Cluster 264 similarity,0
Cluster 265 similarity,0
Cluster 266 similarity,0
Cluster 267 similarity,0
Cluster 268 similarity,0
Cluster 269 similarity,0
Cluster 270 similarity,0
Cluster 271 similarity,0
Cluster 272 similarity,0
Cluster 273 similarity,0
Cluster 274 similarity,0
Cluster 275 similarity,0
Cluster 276 similarity,0
Cluster 277 similarity,0
Cluster 278 similarity,0
Cluster 279 similarity,0
Cluster 280 similarity,0
Cluster 281 similarity,0
Cluster 282 similarity,0
Cluster 283 similarity,0
Cluster 284 similarity,0
Cluster 285 similarity,0
Cluster 286 similarity,0
Cluster 287 similarity,0
Cluster 288 similarity,0
Cluster 289 similarity,0
Cluster 290 similarity,0
Cluster 291 similarity,0
Cluster 292 similarity,0
Cluster 293 similarity,0
Cluster 294 similarity,0
Cluster 295 similarity,0
Cluster 296 similarity,0
Cluster 297 similarity,0
Cluster 298 similarity,0
Cluster 299 similarity,0
Cluster 300 similarity,0
Cluster 301 similarity,0
Cluster 302 similarity,0
Cluster 303 similarity,0
Cluster 304 similarity,0
Cluster 305 similarity,0
Cluster 306 similarity,0
Cluster 307 similarity,0
Cluster 308 similarity,0
Cluster 309 similarity,0
Cluster 310 similarity,0
Cluster 311 similarity,0
Cluster 312 similarity,0
Cluster 313 similarity,0
Cluster 314 similarity,0
Cluster 315 similarity,0
Cluster 316 similarity,0
Cluster 317 similarity,0
Cluster 318 similarity,0
Cluster 319 similarity,0
Cluster 320 similarity,0
Cluster 321 similarity,0
Cluster 322 similarity,0
Cluster 323 similarity,0
Cluster 324 similarity,0
Cluster 325 similarity,0
Cluster 326 similarity,0
Cluster 327 similarity,0
Cluster 328 similarity,0
Cluster 329 similarity,0
Cluster 330 similarity,0
Cluster 331 similarity,0
Cluster 332 similarity,0
Cluster 333 similarity,0
Cluster 334 similarity,0
Cluster 335 similarity,0
Cluster 336 similarity,0
Cluster 337 similarity,0
Cluster 338 similarity,0
Cluster 339 similarity,0
Cluster 340 similarity,0
Cluster 341 similarity,0
Cluster 342 similarity,0
Cluster 343 similarity,0
Cluster 344 similarity,0
Cluster 345 similarity,0
Cluster 346 similarity,0
Cluster 347 similarity,0
Cluster 348 similarity,0
Cluster 349 similarity,0
Cluster 350 similarity,0
Cluster 351 similarity,0
Cluster 352 similarity,0
Cluster 353 similarity,0
Cluster 354 similarity,0
Cluster 355 similarity,0
Cluster 356 similarity,0
Cluster 357 similarity,0
Cluster 358 similarity,0
Cluster 359 similarity,0
Cluster 360 similarity,0
Cluster 361 similarity,0
Cluster 362 similarity,0
Cluster 363 similarity,0
Cluster 364 similarity,0
Cluster 365 similarity,0
Cluster 366 similarity,0
Cluster 367 similarity,0
Cluster 368 similarity,0
Cluster 369 similarity,0
Cluster 370 similarity,0
Cluster 371 similarity,0
Cluster 372 similarity,0
Cluster 373 similarity,0
Cluster 374 similarity,0
Cluster 375 similarity,0
Cluster 376 similarity,0
Cluster 377 similarity,0
Cluster 378 similarity,0
Cluster 379 similarity,0
Cluster 380 similarity,0
Cluster 381 similarity,0
Cluster 382 similarity,0
Cluster 383 similarity,0
Cluster 384 similarity,0
Cluster 385 similarity,0
Cluster 386 similarity,0
Cluster 387 similarity,0
Cluster 388 similarity,0
Cluster 389 similarity,0
Cluster 390 similarity,0
Cluster 391 similarity,0
Cluster 392 similarity,0
Cluster 393 similarity,0
Cluster 394 similarity,0
Cluster 395 similarity,0
Cluster 396 similarity,0
Cluster 397 similarity,0
Cluster 398 similarity,0
Cluster 399 similarity,0
Cluster 400 similarity,0
Cluster 401 similarity,0
Cluster 402 similarity,0
Cluster 403 similarity,0
Cluster 404 similarity,0
Cluster 405 similarity,0
Cluster 406 similarity,0
Cluster 407 similarity,0
Cluster 408 similarity,0
Cluster 409 similarity,0
Cluster 410 similarity,0
Cluster 411 similarity,0
Cluster 412 similarity,0
Cluster 413 similarity,0
Cluster 414 similarity,0
Cluster 415 similarity,0
Cluster 416 similarity,0
Cluster 417 similarity,0
Cluster 418 similarity,0
Cluster 419 similarity,0
Cluster 420 similarity,0
Cluster 421 similarity,0
Cluster 422 similarity,0
Cluster 423 similarity,0
Cluster 424 similarity,0
Cluster 425 similarity,0
Cluster 426 similarity,0
Cluster 427 similarity,0
Cluster 428 similarity,0
Cluster 429 similarity,0
Cluster 430 similarity,0
Cluster 431 similarity,0
Cluster 432 similarity,0
Cluster 433 similarity,0
Cluster 434 similarity,0
Cluster 435 similarity,0
Cluster 436 similarity,0
Cluster 437 similarity,0
Cluster 438 similarity,0
Cluster 439 similarity,0
Cluster 440 similarity,0
Cluster 441 similarity,0
Cluster 442 similarity,0
Cluster 443 similarity,0
Cluster 444 similarity,0
Cluster 445 similarity,0
Cluster 446 similarity,0
Cluster 447 similarity,0
Cluster 448 similarity,0
Cluster 449 similarity,0
Cluster 450 similarity,0
Cluster 451 similarity,0
Cluster 452 similarity,0
Cluster 453 similarity,0
Cluster 454 similarity,0
Cluster 455 similarity,0
Cluster 456 similarity,0
Cluster 457 similarity,0
Cluster 458 similarity,0
Cluster 459 similarity,0
Cluster 460 similarity,0
Cluster 461 similarity,0
Cluster 462 similarity,0
Cluster 463 similarity,0
Cluster 464 similarity,0
Cluster 465 similarity,0
Cluster 466 similarity,0
Cluster 467 similarity,0
Cluster 468 similarity,0
Cluster 469 similarity,0
Cluster 470 similarity,0
Cluster 471 similarity,0
Cluster 472 similarity,0
Cluster 473 similarity,0
Cluster 474 similarity,0
Cluster 475 similarity,0
Cluster 476 similarity,0
Cluster 477 similarity,0
Cluster 478 similarity,0
Cluster 479 similarity,0
Cluster 480 similarity,0
Cluster 481 similarity,0
Cluster 482 similarity,0
Cluster 483 similarity,0
Cluster 484 similarity,0
Cluster 485 similarity,0
Cluster 486 similarity,0
Cluster 487 similarity,0
Cluster 488 similarity,0
Cluster 489 similarity,0
Cluster 490 similarity,0
Cluster 491 similarity,0
Cluster 492 similarity,0
Cluster 493 similarity,0
Cluster 494 similarity,0
Cluster 495 similarity,0
Cluster 496 similarity,0
Cluster 497 similarity,0
Cluster 498 similarity,0
Cluster 499 similarity,0
grunnkrets_id_density,0
t_district_density,0
municipality_name_density,0
avg_household_income_grunnkrets_id,175
avg_household_income_t_district,33
avg_household_income_municipality_name,30
distance_to_mangler_viktighetsnivå,0
distance_to_standard_holdeplass,0
distance_to_lokalt_knutepunkt,0
distance_to_nasjonalt_knutepunkt,0
distance_to_regionalt_knutepunkt,0
distance_to_annen_viktig_holdeplass,0
grunnkrets_id_kids_%,0
grunnkrets_id_kids+_%,0
grunnkrets_id_youths_%,0
grunnkrets_id_youthAdult_%,0
grunnkrets_id_adult_%,0
grunnkrets_id_adults+_%,0
grunnkrets_id_pensinors_%,0
t_district_kids_%,0
t_district_kids+_%,0
t_district_youths_%,0
t_district_youthAdult_%,0
t_district_adult_%,0
t_district_adults+_%,0
t_district_pensinors_%,0
municipality_name_kids_%,0
municipality_name_kids+_%,0
municipality_name_youths_%,0
municipality_name_youthAdult_%,0
municipality_name_adult_%,0
municipality_name_adults+_%,0
municipality_name_pensinors_%,0
distance_closest_mall_name,0
distance_closest_chain_name,0
store_name_first,0
store_name_last,0
address_first,2383
is_chain,0
is_mall,0
store_type_chain,0
store_type_mall,0
store_type_municipality,30
bus_distance_to_store,0
store_type_district,30
